,Experiment_ID,Genome,tissue
17997,SRX1096828,hg19,white matter
18036,SRX1098821,hg19,kidney
18037,SRX1098822,hg19,kidney
18038,SRX1098823,hg19,kidney
18039,SRX1098824,hg19,kidney
18224,SRX1122118,hg19,cultured leukemic blasts
18225,SRX1122119,hg19,cultured leukemic blasts
18324,SRX1127398,hg19,peripheral blood
18325,SRX1127399,hg19,peripheral blood
18326,SRX1127400,hg19,peripheral blood
18327,SRX1127401,hg19,peripheral blood
18328,SRX1127402,hg19,peripheral blood
18329,SRX1127403,hg19,peripheral blood
18330,SRX1127404,hg19,peripheral blood
18331,SRX1127405,hg19,synovial fluid
18332,SRX1127406,hg19,peripheral blood
18333,SRX1127407,hg19,synovial fluid
18334,SRX1127408,hg19,peripheral blood
18335,SRX1127409,hg19,synovial fluid
18336,SRX1127410,hg19,synovial fluid
18337,SRX1127411,hg19,synovial fluid
18338,SRX1127412,hg19,peripheral blood
18426,SRX1133907,hg19,skin
18427,SRX1133908,hg19,skin
18428,SRX1133909,hg19,skin
18429,SRX1133910,hg19,skin
18430,SRX1134084,hg19,thymus
18431,SRX1134085,hg19,thymus
18432,SRX1134086,hg19,thymus
18447,SRX1134763,hg19,peripheral blood
18448,SRX1134764,hg19,peripheral blood
18449,SRX1134765,hg19,peripheral blood
18450,SRX1134766,hg19,peripheral blood
18451,SRX1134767,hg19,peripheral blood
18452,SRX1134768,hg19,peripheral blood
18453,SRX1134769,hg19,peripheral blood
18454,SRX1134770,hg19,peripheral blood
18455,SRX1134771,hg19,peripheral blood
18575,SRX1142193,hg19,blood
18576,SRX1142194,hg19,blood
18577,SRX1142195,hg19,blood
18578,SRX1142196,hg19,blood
18579,SRX1142197,hg19,blood
18580,SRX1142198,hg19,blood
18581,SRX1142199,hg19,blood
18582,SRX1142200,hg19,blood
18583,SRX1142201,hg19,blood
18584,SRX1142202,hg19,blood
18585,SRX1142203,hg19,blood
18586,SRX1142204,hg19,blood
18587,SRX1142205,hg19,blood
18588,SRX1142206,hg19,blood
18589,SRX1142207,hg19,blood
18590,SRX1142208,hg19,blood
18591,SRX1142209,hg19,blood
18592,SRX1142210,hg19,blood
18593,SRX1142211,hg19,blood
18594,SRX1142212,hg19,blood
18595,SRX1142213,hg19,blood
18596,SRX1142214,hg19,blood
18597,SRX1142215,hg19,blood
18598,SRX1142216,hg19,blood
18599,SRX1142217,hg19,blood
18600,SRX1142218,hg19,blood
18601,SRX1142219,hg19,blood
18602,SRX1142220,hg19,blood
18603,SRX1142221,hg19,blood
18604,SRX1142222,hg19,blood
18605,SRX1142223,hg19,blood
18606,SRX1142224,hg19,blood
18607,SRX1142225,hg19,blood
18608,SRX1142226,hg19,blood
18609,SRX1142227,hg19,blood
18610,SRX1142228,hg19,blood
18611,SRX1142229,hg19,blood
18612,SRX1142230,hg19,blood
18613,SRX1142231,hg19,blood
18614,SRX1142232,hg19,blood
18615,SRX1142233,hg19,blood
18616,SRX1142234,hg19,blood
18617,SRX1142235,hg19,blood
18618,SRX1142236,hg19,blood
18619,SRX1142237,hg19,blood
18620,SRX1142238,hg19,blood
18621,SRX1142239,hg19,blood
18622,SRX1142240,hg19,blood
18623,SRX1142241,hg19,blood
18624,SRX1142242,hg19,blood
18625,SRX1142243,hg19,blood
18626,SRX1142244,hg19,blood
18627,SRX1142245,hg19,blood
18628,SRX1142246,hg19,blood
18629,SRX1142247,hg19,blood
18630,SRX1142248,hg19,blood
18631,SRX1142249,hg19,blood
18632,SRX1142250,hg19,blood
18633,SRX1142251,hg19,blood
18634,SRX1142252,hg19,blood
18635,SRX1142253,hg19,blood
18636,SRX1142254,hg19,blood
18637,SRX1142255,hg19,blood
18638,SRX1142256,hg19,blood
18639,SRX1142257,hg19,blood
18640,SRX1142258,hg19,blood
18641,SRX1142259,hg19,blood
18642,SRX1142260,hg19,blood
18643,SRX1142261,hg19,blood
18644,SRX1142262,hg19,blood
18645,SRX1142263,hg19,blood
18646,SRX1142264,hg19,blood
18647,SRX1142265,hg19,blood
18648,SRX1142266,hg19,blood
18649,SRX1142267,hg19,blood
18650,SRX1142268,hg19,blood
18651,SRX1142269,hg19,blood
18652,SRX1142270,hg19,blood
18653,SRX1142271,hg19,blood
18654,SRX1142272,hg19,blood
18655,SRX1142273,hg19,blood
18656,SRX1142274,hg19,blood
18657,SRX1142275,hg19,blood
18658,SRX1142276,hg19,blood
18659,SRX1142277,hg19,blood
18660,SRX1142278,hg19,blood
18661,SRX1142279,hg19,blood
18662,SRX1142280,hg19,blood
18663,SRX1142281,hg19,blood
18664,SRX1142282,hg19,blood
18665,SRX1142283,hg19,blood
18666,SRX1142284,hg19,blood
18667,SRX1142285,hg19,blood
18668,SRX1142286,hg19,blood
18669,SRX1142287,hg19,blood
18670,SRX1142288,hg19,blood
18671,SRX1142289,hg19,blood
18672,SRX1142290,hg19,blood
18673,SRX1142291,hg19,blood
18674,SRX1142292,hg19,blood
18675,SRX1142293,hg19,blood
18676,SRX1142294,hg19,blood
18677,SRX1142295,hg19,blood
18678,SRX1142296,hg19,blood
18679,SRX1142297,hg19,blood
18680,SRX1142298,hg19,blood
18681,SRX1142299,hg19,blood
18682,SRX1142300,hg19,blood
18683,SRX1142301,hg19,blood
18684,SRX1142302,hg19,blood
18685,SRX1142303,hg19,blood
18686,SRX1142304,hg19,blood
18687,SRX1142305,hg19,blood
18688,SRX1142306,hg19,blood
18689,SRX1142307,hg19,blood
18690,SRX1142308,hg19,blood
18691,SRX1142309,hg19,blood
18692,SRX1142310,hg19,blood
18693,SRX1142311,hg19,blood
18694,SRX1142312,hg19,blood
18695,SRX1142313,hg19,blood
19040,SRX1177279,hg19,dorsolateral prefrontal cortex
19041,SRX1177280,hg19,dorsolateral prefrontal cortex
19042,SRX1177281,hg19,dorsolateral prefrontal cortex
19043,SRX1177282,hg19,hippocampus
19044,SRX1177283,hg19,hippocampus
19045,SRX1177284,hg19,hippocampus
19046,SRX1177287,hg19,gliobmastoma biopsy
19047,SRX1177288,hg19,gliobmastoma biopsy
19048,SRX1177289,hg19,gliobmastoma biopsy
19049,SRX1177290,hg19,gliobmastoma biopsy
19050,SRX1177291,hg19,gliobmastoma biopsy
19051,SRX1177292,hg19,gliobmastoma biopsy
19052,SRX1177293,hg19,gliobmastoma biopsy
19053,SRX1177294,hg19,gliobmastoma biopsy
19054,SRX1177295,hg19,gliobmastoma biopsy
19055,SRX1177296,hg19,gliobmastoma biopsy
19056,SRX1177297,hg19,gliobmastoma biopsy
19057,SRX1177298,hg19,gliobmastoma biopsy
19058,SRX1177299,hg19,gliobmastoma biopsy
19059,SRX1177300,hg19,gliobmastoma biopsy
19088,SRX1177343,hg19,gliobmastoma biopsy
19089,SRX1177344,hg19,gliobmastoma biopsy
19090,SRX1177345,hg19,gliobmastoma biopsy
19091,SRX1177346,hg19,gliobmastoma biopsy
19092,SRX1177347,hg19,gliobmastoma biopsy
19093,SRX1177348,hg19,gliobmastoma biopsy
19094,SRX1177349,hg19,gliobmastoma biopsy
19095,SRX1177350,hg19,gliobmastoma biopsy
19096,SRX1177351,hg19,gliobmastoma biopsy
19097,SRX1177352,hg19,gliobmastoma biopsy
19098,SRX1177353,hg19,gliobmastoma biopsy
19099,SRX1177354,hg19,gliobmastoma biopsy
19102,SRX1177357,hg19,gliobmastoma biopsy
19103,SRX1177358,hg19,gliobmastoma biopsy
19145,SRX118080,hg19,cebrellum
19146,SRX118081,hg19,cebrellum
19638,SRX1286264,hg19,ffpe
19639,SRX1286265,hg19,ffpe
19640,SRX1286266,hg19,ffpe
19641,SRX1286267,hg19,ffpe
19642,SRX1286268,hg19,ffpe
19643,SRX1286269,hg19,ffpe
19644,SRX1286270,hg19,ffpe
19645,SRX1286271,hg19,ffpe
19646,SRX1286272,hg19,ffpe
19647,SRX1286273,hg19,ffpe
19648,SRX1286274,hg19,ffpe
19649,SRX1286275,hg19,ffpe
19650,SRX1286276,hg19,ffpe
19656,SRX1286282,hg19,ffpe
19657,SRX1286284,hg19,ffpe
19658,SRX1286286,hg19,ffpe
19659,SRX1286288,hg19,ffpe
19660,SRX1286290,hg19,ffpe
19661,SRX1286291,hg19,ffpe
19662,SRX1286292,hg19,ffpe
19665,SRX1286295,hg19,ffpe
19672,SRX1286302,hg19,ffpe
19674,SRX1286305,hg19,ffpe
19676,SRX1286308,hg19,ffpe
19677,SRX1286309,hg19,ffpe
19678,SRX1286310,hg19,ffpe
19679,SRX1286311,hg19,ffpe
19681,SRX1286314,hg19,ffpe
19683,SRX1286317,hg19,ffpe
19684,SRX1286318,hg19,ffpe
19685,SRX1286319,hg19,ffpe
19686,SRX1286320,hg19,ffpe
19687,SRX1286321,hg19,ffpe
19688,SRX1286322,hg19,ffpe
19690,SRX1286324,hg19,ffpe
19691,SRX1286325,hg19,ffpe
19692,SRX1286326,hg19,ffpe
19694,SRX1286328,hg19,ffpe
19695,SRX1286329,hg19,ffpe
19696,SRX1286330,hg19,ffpe
19697,SRX1286331,hg19,ffpe
19698,SRX1286332,hg19,ffpe
19699,SRX1286333,hg19,ffpe
19700,SRX1286334,hg19,ffpe
19701,SRX1286335,hg19,ffpe
19702,SRX1286336,hg19,ffpe
19703,SRX1286337,hg19,ffpe
19704,SRX1286338,hg19,ffpe
19710,SRX1286344,hg19,ffpe
19711,SRX1286345,hg19,ffpe
19712,SRX1286346,hg19,ffpe
19713,SRX1286347,hg19,ffpe
19716,SRX1286350,hg19,ffpe
19722,SRX1286356,hg19,ffpe
19724,SRX1286358,hg19,ffpe
19726,SRX1286360,hg19,ffpe
19728,SRX1286362,hg19,ffpe
19730,SRX1286364,hg19,ffpe
19731,SRX1286365,hg19,ffpe
19732,SRX1286366,hg19,ffpe
19734,SRX1286368,hg19,ffpe
19735,SRX1286369,hg19,ffpe
19736,SRX1286370,hg19,ffpe
19738,SRX1286372,hg19,ffpe
19986,SRX1308544,hg19,prostate
19987,SRX1308545,hg19,prostate
19988,SRX1308546,hg19,prostate
20042,SRX1334027,hg19,connective tissue
20065,SRX1336990,hg19,bone marrow
20066,SRX1337028,hg19,bone marrow
20067,SRX1337134,hg19,bone marrow
20068,SRX1337135,hg19,bone marrow
20190,SRX1367371,hg19,stomach
20702,SRX1429050,hg19,kidney
20703,SRX1429051,hg19,kidney
20862,SRX1440173,hg19,chondroblastoma
20863,SRX1440174,hg19,chondroblastoma
20865,SRX1440176,hg19,chondroblastoma
20866,SRX1440177,hg19,chondroblastoma
20869,SRX1440180,hg19,chondroblastoma
20870,SRX1440181,hg19,chondroblastoma
21041,SRX1458612,hg19,not applicable
21042,SRX1458613,hg19,not applicable
21043,SRX1458614,hg19,not applicable
21044,SRX1458648,hg19,not applicable
21045,SRX1458651,hg19,not applicable
21046,SRX1458748,hg19,normal kidney adjacent to tumor
21047,SRX1458749,hg19,clear cell renal cell carcinoma tumor
21048,SRX1458750,hg19,normal kidney adjacent to tumor
21049,SRX1458751,hg19,clear cell renal cell carcinoma tumor
21050,SRX1458752,hg19,normal kidney adjacent to tumor
21051,SRX1458753,hg19,clear cell renal cell carcinoma tumor
21052,SRX1458754,hg19,normal kidney adjacent to tumor
21053,SRX1458755,hg19,clear cell renal cell carcinoma tumor
21054,SRX1458756,hg19,normal kidney adjacent to tumor
21055,SRX1458757,hg19,clear cell renal cell carcinoma tumor
21056,SRX1458758,hg19,normal kidney adjacent to tumor
21057,SRX1458759,hg19,clear cell renal cell carcinoma tumor
21058,SRX1458760,hg19,normal kidney adjacent to tumor
21059,SRX1458761,hg19,clear cell renal cell carcinoma tumor
21060,SRX1458762,hg19,normal kidney adjacent to tumor
21061,SRX1458763,hg19,clear cell renal cell carcinoma tumor
21125,SRX1474424,hg19,gastric cancer line
21126,SRX1474425,hg19,gastric primary sample
21127,SRX1474426,hg19,gastric cancer line
21128,SRX1474427,hg19,gastric cancer line
21129,SRX1474428,hg19,gastric cancer line
21130,SRX1474429,hg19,gastric cancer line
21131,SRX1474430,hg19,gastric cancer line
21132,SRX1474431,hg19,gastric cancer line
21133,SRX1474432,hg19,gastric cancer line
21134,SRX1474433,hg19,gastric cancer line
21135,SRX1474434,hg19,gastric cancer line
21136,SRX1474435,hg19,gastric cancer line
21137,SRX1474436,hg19,gastric cancer line
21138,SRX1474437,hg19,gastric cancer line
21139,SRX1474438,hg19,gastric cancer line
21140,SRX1474439,hg19,gastric cancer line
21141,SRX1474440,hg19,gastric cancer line
21142,SRX1474441,hg19,gastric primary sample
21143,SRX1474442,hg19,gastric primary sample
21144,SRX1474443,hg19,gastric primary sample
21145,SRX1474444,hg19,gastric primary sample
21146,SRX1474445,hg19,gastric primary sample
21147,SRX1474446,hg19,gastric cancer line
21148,SRX1474447,hg19,gastric cancer line
21149,SRX1474448,hg19,gastric cancer line
21150,SRX1474449,hg19,gastric cancer line
21151,SRX1474450,hg19,gastric cancer line
21152,SRX1474451,hg19,gastric cancer line
21153,SRX1474452,hg19,gastric cancer line
21154,SRX1474453,hg19,gastric cancer line
