,Experiment_ID,Genome,cell line
11422,ERX3216796,hg19,lymphoblastoid cell line
11423,ERX3216797,hg19,lymphoblastoid cell line
11424,ERX3216798,hg19,lymphoblastoid cell line
11425,ERX3216799,hg19,lymphoblastoid cell line
11429,ERX3216803,hg19,lymphoblastoid cell line
11430,ERX3216804,hg19,lymphoblastoid cell line
11431,ERX3216805,hg19,lymphoblastoid cell line
11432,ERX3216806,hg19,lymphoblastoid cell line
11433,ERX3216807,hg19,lymphoblastoid cell line
11434,ERX3216808,hg19,lymphoblastoid cell line
11435,ERX3216809,hg19,lymphoblastoid cell line
11436,ERX3216810,hg19,lymphoblastoid cell line
11439,ERX3216813,hg19,lymphoblastoid cell line
11440,ERX3216814,hg19,lymphoblastoid cell line
11441,ERX3216815,hg19,lymphoblastoid cell line
11442,ERX3216816,hg19,lymphoblastoid cell line
11443,ERX3216817,hg19,lymphoblastoid cell line
11444,ERX3216818,hg19,lymphoblastoid cell line
11445,ERX3216819,hg19,lymphoblastoid cell line
11446,ERX3216820,hg19,lymphoblastoid cell line
11447,ERX3216821,hg19,lymphoblastoid cell line
11449,ERX3216823,hg19,lymphoblastoid cell line
11450,ERX3216824,hg19,lymphoblastoid cell line
11451,ERX3216825,hg19,lymphoblastoid cell line
11452,ERX3216826,hg19,lymphoblastoid cell line
11453,ERX3216827,hg19,lymphoblastoid cell line
11454,ERX3216828,hg19,lymphoblastoid cell line
11455,ERX3216829,hg19,lymphoblastoid cell line
11456,ERX3216830,hg19,lymphoblastoid cell line
11457,ERX3216831,hg19,lymphoblastoid cell line
11458,ERX3216832,hg19,lymphoblastoid cell line
11467,ERX3216841,hg19,lymphoblastoid cell line
11468,ERX3216842,hg19,lymphoblastoid cell line
11469,ERX3216843,hg19,lymphoblastoid cell line
11473,ERX3216847,hg19,lymphoblastoid cell line
11477,ERX3216851,hg19,lymphoblastoid cell line
11478,ERX3216852,hg19,lymphoblastoid cell line
11480,ERX3216854,hg19,lymphoblastoid cell line
11484,ERX3216858,hg19,lymphoblastoid cell line
11488,ERX3216862,hg19,lymphoblastoid cell line
11491,ERX3216865,hg19,lymphoblastoid cell line
11495,ERX3216869,hg19,lymphoblastoid cell line
11502,ERX3216876,hg19,lymphoblastoid cell line
11506,ERX3216880,hg19,lymphoblastoid cell line
11509,ERX3216883,hg19,lymphoblastoid cell line
11513,ERX3216887,hg19,lymphoblastoid cell line
11517,ERX3216891,hg19,lymphoblastoid cell line
11518,ERX3216892,hg19,lymphoblastoid cell line
11519,ERX3216893,hg19,lymphoblastoid cell line
11521,ERX3216895,hg19,lymphoblastoid cell line
11522,ERX3216896,hg19,lymphoblastoid cell line
11523,ERX3216897,hg19,lymphoblastoid cell line
11529,ERX3216903,hg19,lymphoblastoid cell line
11530,ERX3216904,hg19,lymphoblastoid cell line
11532,ERX3216906,hg19,lymphoblastoid cell line
11533,ERX3216907,hg19,lymphoblastoid cell line
11534,ERX3216908,hg19,lymphoblastoid cell line
11539,ERX3216913,hg19,lymphoblastoid cell line
11540,ERX3216914,hg19,lymphoblastoid cell line
11541,ERX3216915,hg19,lymphoblastoid cell line
11543,ERX3216917,hg19,lymphoblastoid cell line
11544,ERX3216918,hg19,lymphoblastoid cell line
11545,ERX3216919,hg19,lymphoblastoid cell line
11550,ERX3216924,hg19,lymphoblastoid cell line
11551,ERX3216925,hg19,lymphoblastoid cell line
11552,ERX3216926,hg19,lymphoblastoid cell line
11554,ERX3216928,hg19,lymphoblastoid cell line
11555,ERX3216929,hg19,lymphoblastoid cell line
11556,ERX3216930,hg19,lymphoblastoid cell line
11559,ERX3216933,hg19,lymphoblastoid cell line
11560,ERX3216934,hg19,lymphoblastoid cell line
11561,ERX3216935,hg19,lymphoblastoid cell line
11562,ERX3216936,hg19,lymphoblastoid cell line
11563,ERX3216937,hg19,lymphoblastoid cell line
11564,ERX3216938,hg19,lymphoblastoid cell line
11565,ERX3216939,hg19,lymphoblastoid cell line
11577,ERX3216951,hg19,lymphoblastoid cell line
11578,ERX3216952,hg19,lymphoblastoid cell line
11588,ERX3216962,hg19,lymphoblastoid cell line
11612,ERX3216986,hg19,lymphoblastoid cell line
11616,ERX3216990,hg19,lymphoblastoid cell line
11619,ERX3216993,hg19,lymphoblastoid cell line
11623,ERX3216997,hg19,lymphoblastoid cell line
11627,ERX3217001,hg19,lymphoblastoid cell line
11629,ERX3217003,hg19,lymphoblastoid cell line
11630,ERX3217004,hg19,lymphoblastoid cell line
11634,ERX3217008,hg19,lymphoblastoid cell line
11638,ERX3217012,hg19,lymphoblastoid cell line
11639,ERX3217013,hg19,lymphoblastoid cell line
11640,ERX3217014,hg19,lymphoblastoid cell line
11641,ERX3217015,hg19,lymphoblastoid cell line
11645,ERX3217019,hg19,lymphoblastoid cell line
11649,ERX3217023,hg19,lymphoblastoid cell line
11650,ERX3217024,hg19,lymphoblastoid cell line
11651,ERX3217025,hg19,lymphoblastoid cell line
11652,ERX3217026,hg19,lymphoblastoid cell line
11656,ERX3217030,hg19,lymphoblastoid cell line
11659,ERX3217033,hg19,lymphoblastoid cell line
11661,ERX3217035,hg19,lymphoblastoid cell line
11662,ERX3217036,hg19,lymphoblastoid cell line
11663,ERX3217037,hg19,lymphoblastoid cell line
11669,ERX3217043,hg19,lymphoblastoid cell line
11670,ERX3217044,hg19,lymphoblastoid cell line
11671,ERX3217045,hg19,lymphoblastoid cell line
11672,ERX3217046,hg19,lymphoblastoid cell line
11673,ERX3217047,hg19,lymphoblastoid cell line
11674,ERX3217048,hg19,lymphoblastoid cell line
11675,ERX3217049,hg19,lymphoblastoid cell line
11679,ERX3217053,hg19,lymphoblastoid cell line
11680,ERX3217054,hg19,lymphoblastoid cell line
11681,ERX3217055,hg19,lymphoblastoid cell line
11682,ERX3217056,hg19,lymphoblastoid cell line
11683,ERX3217057,hg19,lymphoblastoid cell line
11684,ERX3217058,hg19,lymphoblastoid cell line
11685,ERX3217059,hg19,lymphoblastoid cell line
11686,ERX3217060,hg19,lymphoblastoid cell line
11689,ERX3217063,hg19,lymphoblastoid cell line
11690,ERX3217064,hg19,lymphoblastoid cell line
11691,ERX3217065,hg19,lymphoblastoid cell line
11692,ERX3217066,hg19,lymphoblastoid cell line
11693,ERX3217067,hg19,lymphoblastoid cell line
11694,ERX3217068,hg19,lymphoblastoid cell line
11695,ERX3217069,hg19,lymphoblastoid cell line
11696,ERX3217070,hg19,lymphoblastoid cell line
11697,ERX3217071,hg19,lymphoblastoid cell line
11699,ERX3217073,hg19,lymphoblastoid cell line
11700,ERX3217074,hg19,lymphoblastoid cell line
11701,ERX3217075,hg19,lymphoblastoid cell line
11702,ERX3217076,hg19,lymphoblastoid cell line
11703,ERX3217077,hg19,lymphoblastoid cell line
11704,ERX3217078,hg19,lymphoblastoid cell line
11705,ERX3217079,hg19,lymphoblastoid cell line
11706,ERX3217080,hg19,lymphoblastoid cell line
11707,ERX3217081,hg19,lymphoblastoid cell line
11708,ERX3217082,hg19,lymphoblastoid cell line
11739,ERX3217113,hg19,lymphoblastoid cell line
11749,ERX3217123,hg19,lymphoblastoid cell line
11750,ERX3217124,hg19,lymphoblastoid cell line
11759,ERX3217133,hg19,lymphoblastoid cell line
11763,ERX3217137,hg19,lymphoblastoid cell line
11767,ERX3217141,hg19,lymphoblastoid cell line
11768,ERX3217142,hg19,lymphoblastoid cell line
11769,ERX3217143,hg19,lymphoblastoid cell line
11771,ERX3217145,hg19,lymphoblastoid cell line
11772,ERX3217146,hg19,lymphoblastoid cell line
11773,ERX3217147,hg19,lymphoblastoid cell line
11779,ERX3217153,hg19,lymphoblastoid cell line
11780,ERX3217154,hg19,lymphoblastoid cell line
11782,ERX3217156,hg19,lymphoblastoid cell line
11783,ERX3217157,hg19,lymphoblastoid cell line
11784,ERX3217158,hg19,lymphoblastoid cell line
11789,ERX3217163,hg19,lymphoblastoid cell line
11790,ERX3217164,hg19,lymphoblastoid cell line
11791,ERX3217165,hg19,lymphoblastoid cell line
11793,ERX3217167,hg19,lymphoblastoid cell line
11794,ERX3217168,hg19,lymphoblastoid cell line
11795,ERX3217169,hg19,lymphoblastoid cell line
11800,ERX3217174,hg19,lymphoblastoid cell line
11801,ERX3217175,hg19,lymphoblastoid cell line
11802,ERX3217176,hg19,lymphoblastoid cell line
11804,ERX3217178,hg19,lymphoblastoid cell line
11805,ERX3217179,hg19,lymphoblastoid cell line
11806,ERX3217180,hg19,lymphoblastoid cell line
11827,ERX3226126,hg19,u2os
11832,ERX324273,hg19,mcf7
11833,ERX324274,hg19,mcf7
11834,ERX324275,hg19,mcf7
11844,ERX3252098,hg19,sw837
11845,ERX3252099,hg19,sw837
11846,ERX3252100,hg19,sw837
11847,ERX3252101,hg19,sw837
11851,ERX3252105,hg19,sw837
11855,ERX3252877,hg19,raji
11859,ERX3252881,hg19,raji
11863,ERX3252885,hg19,raji
11864,ERX3252886,hg19,raji
11865,ERX3252887,hg19,raji
11871,ERX3266634,hg19,769p
11881,ERX3266644,hg19,caki1
11892,ERX329611,hg19,na12892
11893,ERX329612,hg19,na12892
11894,ERX329613,hg19,na12813
11895,ERX329614,hg19,na19240
11896,ERX329615,hg19,na19239
11897,ERX329616,hg19,na19238
11898,ERX329617,hg19,na12776
11899,ERX329618,hg19,na11830
11900,ERX329619,hg19,na12892
11901,ERX329620,hg19,na11840
11902,ERX329621,hg19,na12891
11903,ERX329622,hg19,na11894
11904,ERX329623,hg19,na11840
11905,ERX329624,hg19,na11831
11906,ERX329625,hg19,na12813
11907,ERX329626,hg19,na11894
11908,ERX329627,hg19,na11830
11909,ERX329628,hg19,na11840
11910,ERX329629,hg19,na11881
11911,ERX329630,hg19,na12043
11912,ERX329631,hg19,na11830
11913,ERX329632,hg19,na12892
11914,ERX329633,hg19,na11881
11915,ERX329634,hg19,na12892
11916,ERX329635,hg19,na12776
11917,ERX329636,hg19,na12891
11918,ERX329637,hg19,na12813
11919,ERX329638,hg19,na12878
11920,ERX329639,hg19,na12892
11921,ERX329640,hg19,na12043
11922,ERX329641,hg19,na19239
11923,ERX329642,hg19,na12878
11924,ERX329643,hg19,na12776
11925,ERX329644,hg19,na12878
11926,ERX329645,hg19,na19238
11927,ERX329646,hg19,na11881
11928,ERX329647,hg19,na19238
11929,ERX329648,hg19,na11894
11930,ERX329649,hg19,na19238
11931,ERX329650,hg19,na19239
11932,ERX329651,hg19,na12891
11933,ERX329652,hg19,na12891
11934,ERX329653,hg19,na12776
11935,ERX329654,hg19,na11831
11936,ERX329655,hg19,na19239
11937,ERX329656,hg19,na11881
11938,ERX329657,hg19,na19238
11939,ERX329658,hg19,na19238
11940,ERX329659,hg19,na19240
11941,ERX329660,hg19,na12878
11942,ERX329661,hg19,na12891
11943,ERX329662,hg19,na12813
11944,ERX329663,hg19,na12891
11945,ERX329664,hg19,na12813
11946,ERX329665,hg19,na11831
11947,ERX329666,hg19,na11840
11948,ERX329667,hg19,na19240
11949,ERX329668,hg19,na11894
11950,ERX329669,hg19,na11830
11951,ERX329670,hg19,na11831
11952,ERX329671,hg19,na12776
11953,ERX329672,hg19,na12813
11954,ERX329673,hg19,na12043
11955,ERX329674,hg19,na11831
11956,ERX329675,hg19,na19238
11957,ERX329676,hg19,na11831
11958,ERX329677,hg19,na19239
11959,ERX329678,hg19,na19240
11960,ERX329679,hg19,na12776
11961,ERX329680,hg19,na11830
11962,ERX329681,hg19,na19240
11963,ERX329682,hg19,na12891
11964,ERX329683,hg19,na11881
11965,ERX329684,hg19,na11881
11966,ERX329685,hg19,na19239
11967,ERX329686,hg19,na12813
11968,ERX329687,hg19,na12878
11969,ERX329688,hg19,na11840
11970,ERX329689,hg19,na12043
11971,ERX329690,hg19,na12892
11972,ERX329691,hg19,na12043
11973,ERX329692,hg19,na19239
11974,ERX329693,hg19,na11831
11975,ERX329694,hg19,na19240
11976,ERX329695,hg19,na11894
11977,ERX329696,hg19,na19238
11978,ERX329697,hg19,na19240
11979,ERX329698,hg19,na11840
11980,ERX329699,hg19,na12043
11981,ERX329700,hg19,na11894
11982,ERX329701,hg19,na11830
11983,ERX329702,hg19,na11881
11984,ERX329703,hg19,na19240
11985,ERX329704,hg19,na11830
11986,ERX329705,hg19,na19239
11987,ERX329706,hg19,na19240
11988,ERX329707,hg19,na12878
11989,ERX329708,hg19,na12892
11990,ERX329709,hg19,na12878
11991,ERX329710,hg19,na12776
11992,ERX329711,hg19,na12043
11993,ERX329712,hg19,na12878
11994,ERX329713,hg19,na19239
11995,ERX329714,hg19,na12891
11996,ERX329715,hg19,na19238
11997,ERX329716,hg19,na12891
11998,ERX329717,hg19,na11894
11999,ERX329718,hg19,na12878
12000,ERX329719,hg19,na12892
12032,ERX332470,hg19,u2os
12033,ERX332471,hg19,u2os
12034,ERX332472,hg19,u2os
12035,ERX332473,hg19,u2os
12036,ERX332474,hg19,u2os
12037,ERX332475,hg19,u2os
12038,ERX332476,hg19,u2os
12039,ERX332477,hg19,u2os
12040,ERX332478,hg19,u2os
12047,ERX333773,hg19,h9
12048,ERX333774,hg19,h9
12049,ERX333775,hg19,h9
12050,ERX333776,hg19,h9
12051,ERX333777,hg19,h9
12052,ERX333778,hg19,h9
12053,ERX333779,hg19,h9
12054,ERX333780,hg19,h9
12056,ERX334667,hg19,h1
12057,ERX334668,hg19,h1
12058,ERX334669,hg19,h1
12059,ERX334670,hg19,h1
12060,ERX334671,hg19,h1
12061,ERX334672,hg19,h1
12062,ERX334673,hg19,h1
12063,ERX334674,hg19,h1
12064,ERX334675,hg19,h1
12065,ERX334676,hg19,h1
12066,ERX334677,hg19,h1
12067,ERX334678,hg19,h1
12068,ERX334679,hg19,h1
12069,ERX334680,hg19,h1
12070,ERX334681,hg19,h1
12500,ERX432309,hg19,u2os
12501,ERX432310,hg19,u2os
12502,ERX432311,hg19,u2os
12503,ERX432312,hg19,u2os
12504,ERX432313,hg19,u2os
12505,ERX432314,hg19,u2os
12511,ERX519498,hg19,u2os
12512,ERX519499,hg19,u2os
12513,ERX519500,hg19,u2os
12532,ERX593131,hg19,k562
12534,ERX593133,hg19,k562
12654,ERX629152,hg19,u2os
12662,ERX633937,hg19,hek293t
12663,ERX633938,hg19,hek293t
12664,ERX633939,hg19,hek293t
12665,ERX633940,hg19,hek293t
12789,ERX873853,hg19,hues8
12881,SRX003181,hg19,hela
12882,SRX003182,hg19,hela
12883,SRX003313,hg19,hela s3
12884,SRX003314,hg19,hela s3
12885,SRX003315,hg19,hela s3
12886,SRX003316,hg19,hela s3
12887,SRX003317,hg19,hela s3
12888,SRX003318,hg19,hela s3
12889,SRX003319,hg19,hela s3
12890,SRX003320,hg19,hela s3
12891,SRX003321,hg19,hela s3
12892,SRX003322,hg19,hela s3
12893,SRX003323,hg19,hela s3
12894,SRX003324,hg19,hela s3
12895,SRX003325,hg19,hela s3
12898,SRX003796,hg19,hela
12899,SRX003797,hg19,hela
12900,SRX003798,hg19,jurkat
12910,SRX003879,hg19,hek 293t
12911,SRX003880,hg19,hek 293t
12912,SRX003881,hg19,hek 293t
12913,SRX003882,hg19,hek 293t
12914,SRX003883,hg19,hek 293t
12972,SRX007031,hg19,hela s3
12973,SRX007034,hg19,hek293t
12974,SRX007035,hg19,hs68
12975,SRX007036,hg19,hs68
12976,SRX007037,hg19,hs68
12978,SRX007039,hg19,hela s3
12979,SRX007040,hg19,hek293t
13014,SRX011571,hg19,h1
13015,SRX011572,hg19,h1
13016,SRX011573,hg19,h1
13017,SRX011574,hg19,h1
13018,SRX011575,hg19,h1
13019,SRX011576,hg19,h1
13020,SRX011577,hg19,h1
13021,SRX011616,hg19,h1
13022,SRX011617,hg19,h1
13023,SRX011618,hg19,h1
13053,SRX013323,hg19,k562
13054,SRX013324,hg19,k562
13112,SRX014810,hg19,k562
13113,SRX014811,hg19,k562
13114,SRX014812,hg19,k562
13130,SRX016028,hg19,imr90
13131,SRX016029,hg19,imr90
13132,SRX016030,hg19,imr90
13133,SRX016031,hg19,imr90
13134,SRX016032,hg19,imr90
13135,SRX016033,hg19,imr90
13136,SRX016034,hg19,imr90
13137,SRX016035,hg19,imr90
13138,SRX016036,hg19,imr90
13139,SRX016037,hg19,imr90
13140,SRX016038,hg19,imr90
13141,SRX016039,hg19,imr90
13142,SRX016326,hg19,mcf7
13143,SRX016327,hg19,mcf7
13164,SRX016996,hg19,hek293t
13166,SRX016998,hg19,hela s3
13167,SRX016999,hg19,hela s3
13168,SRX017000,hg19,hela s3
13169,SRX017001,hg19,hela s3
13170,SRX017002,hg19,hela s3
13171,SRX017005,hg19,hela s3
13200,SRX017276,hg19,h1
13201,SRX017277,hg19,h1
13202,SRX017278,hg19,h1
13261,SRX017557,hg19,bj
13262,SRX017558,hg19,bj
13263,SRX017559,hg19,bj
13264,SRX017560,hg19,bj
13297,SRX017858,hg19,gm19193
13298,SRX017859,hg19,gm19193
13299,SRX017860,hg19,gm19193
13300,SRX017861,hg19,gm19193
13301,SRX017862,hg19,gm19193
13302,SRX017863,hg19,gm18505
13303,SRX017864,hg19,gm18505
13304,SRX017865,hg19,gm18505
13305,SRX017866,hg19,gm18505
13306,SRX017867,hg19,gm18505
13307,SRX017868,hg19,gm18505
13308,SRX017869,hg19,gm18505
13309,SRX017870,hg19,gm19099
13310,SRX017871,hg19,gm19099
13311,SRX017872,hg19,gm19099
13312,SRX017873,hg19,gm19099
13313,SRX017874,hg19,gm19099
13314,SRX017875,hg19,gm15510
13315,SRX017876,hg19,gm15510
13316,SRX017877,hg19,gm15510
13317,SRX017878,hg19,gm15510
13318,SRX017879,hg19,gm15510
13319,SRX017880,hg19,gm15510
13320,SRX017881,hg19,gm15510
13321,SRX017882,hg19,gm12892
13322,SRX017883,hg19,gm12892
13323,SRX017884,hg19,gm12892
13324,SRX017885,hg19,gm12892
13325,SRX017886,hg19,gm12892
13326,SRX017887,hg19,gm10847
13327,SRX017888,hg19,gm10847
13328,SRX017889,hg19,gm10847
13329,SRX017890,hg19,gm10847
13330,SRX017891,hg19,gm10847
13331,SRX017892,hg19,gm10847
13332,SRX017893,hg19,gm10847
13333,SRX017894,hg19,gm18951
13334,SRX017895,hg19,gm18951
13335,SRX017896,hg19,gm18951
13336,SRX017897,hg19,gm18951
13337,SRX017898,hg19,gm18951
13338,SRX017899,hg19,gm18951
13339,SRX017900,hg19,gm18526
13340,SRX017901,hg19,gm18526
